Code;Destination
88299;AEROMOBILE GSM AIRCRAFT
93;AFGHANISTAN
937;AFGHANISTAN GSM
9370;AFGHANISTAN GSM AWCC
9371;AFGHANISTAN GSM AWCC
9378;AFGHANISTAN GSM ETIS
9377;AFGHANISTAN GSM MTN
9379;AFGHANISTAN GSM ROSH
355;ALBANIA
35521160;ALBANIA AMC
35521161;ALBANIA AMC
35521250;ALBANIA AMC
35521340;ALBANIA AMC
35521440;ALBANIA AMC
3552155;ALBANIA AMC
35521650;ALBANIA AMC
35521651;ALBANIA AMC
35521740;ALBANIA AMC
35521741;ALBANIA AMC
3552185;ALBANIA AMC
35521940;ALBANIA AMC
3552253;ALBANIA AMC
3552254;ALBANIA AMC
35522540;ALBANIA AMC
3552440;ALBANIA AMC
35524401;ALBANIA AMC
35524402;ALBANIA AMC
35524403;ALBANIA AMC
35524404;ALBANIA AMC
35524405;ALBANIA AMC
35524406;ALBANIA AMC
35524407;ALBANIA AMC
35524408;ALBANIA AMC
35524409;ALBANIA AMC
35526160;ALBANIA AMC
35526250;ALBANIA AMC
35526293;ALBANIA AMC
35526323;ALBANIA AMC
35526350;ALBANIA AMC
35526363;ALBANIA AMC
35526373;ALBANIA AMC
35526383;ALBANIA AMC
35526450;ALBANIA AMC
35526490;ALBANIA AMC
35526523;ALBANIA AMC
35526563;ALBANIA AMC
35526650;ALBANIA AMC
35526673;ALBANIA AMC
35526723;ALBANIA AMC
35526770;ALBANIA AMC
35526840;ALBANIA AMC
35526890;ALBANIA AMC
35526950;ALBANIA AMC
35526970;ALBANIA AMC
35526990;ALBANIA AMC
35527023;ALBANIA AMC
35527043;ALBANIA AMC
35527053;ALBANIA AMC
35527070;ALBANIA AMC
35527140;ALBANIA AMC
35527190;ALBANIA AMC
35527223;ALBANIA AMC
35527253;ALBANIA AMC
35527270;ALBANIA AMC
35527323;ALBANIA AMC
35527350;ALBANIA AMC
35527370;ALBANIA AMC
35527390;ALBANIA AMC
35527440;ALBANIA AMC
35527470;ALBANIA AMC
35527490;ALBANIA AMC
35527523;ALBANIA AMC
35527550;ALBANIA AMC
35527570;ALBANIA AMC
35527590;ALBANIA AMC
35527623;ALBANIA AMC
35527660;ALBANIA AMC
35527693;ALBANIA AMC
35527723;ALBANIA AMC
35527760;ALBANIA AMC
35527790;ALBANIA AMC
35527840;ALBANIA AMC
35527860;ALBANIA AMC
35527880;ALBANIA AMC
35527923;ALBANIA AMC
35527950;ALBANIA AMC
35527970;ALBANIA AMC
35527990;ALBANIA AMC
35528123;ALBANIA AMC
35528124;ALBANIA AMC
35528143;ALBANIA AMC
35528144;ALBANIA AMC
35528190;ALBANIA AMC
35528223;ALBANIA AMC
35528250;ALBANIA AMC
35528290;ALBANIA AMC
35528323;ALBANIA AMC
35528350;ALBANIA AMC
35528390;ALBANIA AMC
35528450;ALBANIA AMC
35528523;ALBANIA AMC
35528570;ALBANIA AMC
35528623;ALBANIA AMC
35528643;ALBANIA AMC
35528680;ALBANIA AMC
35528763;ALBANIA AMC
35528790;ALBANIA AMC
35528823;ALBANIA AMC
35528850;ALBANIA AMC
35528870;ALBANIA AMC
35528890;ALBANIA AMC
35528950;ALBANIA AMC
35528970;ALBANIA AMC
35528990;ALBANIA AMC
35529140;ALBANIA AMC
35529190;ALBANIA AMC
35529240;ALBANIA AMC
35529280;ALBANIA AMC
35529340;ALBANIA AMC
35529370;ALBANIA AMC
35529390;ALBANIA AMC
35529423;ALBANIA AMC
35529460;ALBANIA AMC
35529490;ALBANIA AMC
35529523;ALBANIA AMC
35529550;ALBANIA AMC
35529570;ALBANIA AMC
35529590;ALBANIA AMC
35529623;ALBANIA AMC
35529650;ALBANIA AMC
35529680;ALBANIA AMC
35529723;ALBANIA AMC
35529750;ALBANIA AMC
35529763;ALBANIA AMC
35529780;ALBANIA AMC
35531150;ALBANIA AMC
35531151;ALBANIA AMC
35531250;ALBANIA AMC
35531350;ALBANIA AMC
35531351;ALBANIA AMC
3553270;ALBANIA AMC
3553350;ALBANIA AMC
3553351;ALBANIA AMC
3553490;ALBANIA AMC
3553491;ALBANIA AMC
3553560;ALBANIA AMC
35536023;ALBANIA AMC
35536043;ALBANIA AMC
35536063;ALBANIA AMC
35536073;ALBANIA AMC
35536090;ALBANIA AMC
35536150;ALBANIA AMC
35536240;ALBANIA AMC
35536290;ALBANIA AMC
35536340;ALBANIA AMC
35536380;ALBANIA AMC
35536440;ALBANIA AMC
35536480;ALBANIA AMC
35536540;ALBANIA AMC
35536580;ALBANIA AMC
35536640;ALBANIA AMC
35536670;ALBANIA AMC
35536740;ALBANIA AMC
35536770;ALBANIA AMC
35536840;ALBANIA AMC
35536890;ALBANIA AMC
35536923;ALBANIA AMC
35536993;ALBANIA AMC
35537140;ALBANIA AMC
35537141;ALBANIA AMC
35537223;ALBANIA AMC
35537263;ALBANIA AMC
35537283;ALBANIA AMC
35537293;ALBANIA AMC
35537340;ALBANIA AMC
35537370;ALBANIA AMC
35537393;ALBANIA AMC
35537450;ALBANIA AMC
35537490;ALBANIA AMC
35537494;ALBANIA AMC
35537523;ALBANIA AMC
35537563;ALBANIA AMC
35537590;ALBANIA AMC
35537623;ALBANIA AMC
35537680;ALBANIA AMC
35537740;ALBANIA AMC
35537773;ALBANIA AMC
35537790;ALBANIA AMC
35537823;ALBANIA AMC
35537843;ALBANIA AMC
35537853;ALBANIA AMC
35537870;ALBANIA AMC
35537890;ALBANIA AMC
35538150;ALBANIA AMC
35538151;ALBANIA AMC
35538152;ALBANIA AMC
35538240;ALBANIA AMC
35538241;ALBANIA AMC
35538350;ALBANIA AMC
35538423;ALBANIA AMC
35538470;ALBANIA AMC
35538523;ALBANIA AMC
35538593;ALBANIA AMC
35538623;ALBANIA AMC
35538650;ALBANIA AMC
35538680;ALBANIA AMC
35538693;ALBANIA AMC
35538725;ALBANIA AMC
35538790;ALBANIA AMC
35538850;ALBANIA AMC
35538923;ALBANIA AMC
35538940;ALBANIA AMC
35538980;ALBANIA AMC
35539150;ALBANIA AMC
35539151;ALBANIA AMC
35539240;ALBANIA AMC
35539241;ALBANIA AMC
35539360;ALBANIA AMC
35539361;ALBANIA AMC
35539450;ALBANIA AMC
35539560;ALBANIA AMC
35539640;ALBANIA AMC
35539690;ALBANIA AMC
35539740;ALBANIA AMC
35539790;ALBANIA AMC
35539823;ALBANIA AMC
35539850;ALBANIA AMC
35539880;ALBANIA AMC
3554630;ALBANIA AMC
35546300;ALBANIA AMC
3554631;ALBANIA AMC
35546310;ALBANIA AMC
3554632;ALBANIA AMC
35546320;ALBANIA AMC
3554633;ALBANIA AMC
35546330;ALBANIA AMC
35547210;ALBANIA AMC
35547425;ALBANIA AMC
35547550;ALBANIA AMC
35547700;ALBANIA AMC
35547870;ALBANIA AMC
35547950;ALBANIA AMC
35548270;ALBANIA AMC
35548271;ALBANIA AMC
35548272;ALBANIA AMC
35548570;ALBANIA AMC
35548660;ALBANIA AMC
35548750;ALBANIA AMC
35548855;ALBANIA AMC
35548935;ALBANIA AMC
35548936;ALBANIA AMC
35549250;ALBANIA AMC
35549440;ALBANIA AMC
35549560;ALBANIA AMC
35549730;ALBANIA AMC
35549830;ALBANIA AMC
35549930;ALBANIA AMC
3555114;ALBANIA AMC
35551240;ALBANIA AMC
35551241;ALBANIA AMC
35551360;ALBANIA AMC
35551361;ALBANIA AMC
35551460;ALBANIA AMC
35551461;ALBANIA AMC
3555263;ALBANIA AMC
3555264;ALBANIA AMC
3555370;ALBANIA AMC
3555490;ALBANIA AMC
3555491;ALBANIA AMC
3555540;ALBANIA AMC
35556150;ALBANIA AMC
35556240;ALBANIA AMC
35556293;ALBANIA AMC
35556340;ALBANIA AMC
35556445;ALBANIA AMC
35556465;ALBANIA AMC
35556550;ALBANIA AMC
35556583;ALBANIA AMC
35557043;ALBANIA AMC
35557070;ALBANIA AMC
35557094;ALBANIA AMC
35557180;ALBANIA AMC
35557260;ALBANIA AMC
35557390;ALBANIA AMC
35557463;ALBANIA AMC
35557464;ALBANIA AMC
35557543;ALBANIA AMC
35557544;ALBANIA AMC
35557584;ALBANIA AMC
35557643;ALBANIA AMC
35557644;ALBANIA AMC
35557683;ALBANIA AMC
35557770;ALBANIA AMC
35557771;ALBANIA AMC
35557843;ALBANIA AMC
35557865;ALBANIA AMC
35557943;ALBANIA AMC
35557963;ALBANIA AMC
35557993;ALBANIA AMC
35558023;ALBANIA AMC
35558073;ALBANIA AMC
35558150;ALBANIA AMC
35558151;ALBANIA AMC
35558250;ALBANIA AMC
35558323;ALBANIA AMC
35558373;ALBANIA AMC
35558424;ALBANIA AMC
35558460;ALBANIA AMC
35558484;ALBANIA AMC
35558494;ALBANIA AMC
35558540;ALBANIA AMC
35558564;ALBANIA AMC
35558580;ALBANIA AMC
35558594;ALBANIA AMC
35558624;ALBANIA AMC
35558670;ALBANIA AMC
35558693;ALBANIA AMC
35558724;ALBANIA AMC
35558764;ALBANIA AMC
35558790;ALBANIA AMC
35558824;ALBANIA AMC
35558842;ALBANIA AMC
35558852;ALBANIA AMC
35558882;ALBANIA AMC
35558924;ALBANIA AMC
35558953;ALBANIA AMC
35558983;ALBANIA AMC
35559150;ALBANIA AMC
35559240;ALBANIA AMC
35559324;ALBANIA AMC
35559360;ALBANIA AMC
35559394;ALBANIA AMC
35559424;ALBANIA AMC
35559462;ALBANIA AMC
35559492;ALBANIA AMC
35559540;ALBANIA AMC
35559572;ALBANIA AMC
35559622;ALBANIA AMC
35559664;ALBANIA AMC
35559674;ALBANIA AMC
35559684;ALBANIA AMC
35559694;ALBANIA AMC
35559722;ALBANIA AMC
35559754;ALBANIA AMC
35559770;ALBANIA AMC
35559794;ALBANIA AMC
35572780;ALBANIA AMC
35581140;ALBANIA AMC
35581141;ALBANIA AMC
35581240;ALBANIA AMC
35581241;ALBANIA AMC
35581340;ALBANIA AMC
35581341;ALBANIA AMC
35581450;ALBANIA AMC
35581451;ALBANIA AMC
35581540;ALBANIA AMC
3558290;ALBANIA AMC
3558291;ALBANIA AMC
3558340;ALBANIA AMC
3558460;ALBANIA AMC
3558550;ALBANIA AMC
35586022;ALBANIA AMC
35586070;ALBANIA AMC
35586082;ALBANIA AMC
35586150;ALBANIA AMC
35586260;ALBANIA AMC
35586344;ALBANIA AMC
35586372;ALBANIA AMC
35586424;ALBANIA AMC
35586462;ALBANIA AMC
35586472;ALBANIA AMC
35586494;ALBANIA AMC
35586524;ALBANIA AMC
35586572;ALBANIA AMC
35586582;ALBANIA AMC
35586622;ALBANIA AMC
35586672;ALBANIA AMC
35586750;ALBANIA AMC
35586796;ALBANIA AMC
35586850;ALBANIA AMC
35586892;ALBANIA AMC
35586922;ALBANIA AMC
35586972;ALBANIA AMC
35587150;ALBANIA AMC
35587151;ALBANIA AMC
35587174;ALBANIA AMC
35587184;ALBANIA AMC
35587194;ALBANIA AMC
35587224;ALBANIA AMC
35587270;ALBANIA AMC
35587294;ALBANIA AMC
35587322;ALBANIA AMC
35587392;ALBANIA AMC
35587442;ALBANIA AMC
35587482;ALBANIA AMC
35587540;ALBANIA AMC
35587622;ALBANIA AMC
35587652;ALBANIA AMC
35587672;ALBANIA AMC
35587692;ALBANIA AMC
35587722;ALBANIA AMC
35587760;ALBANIA AMC
35587790;ALBANIA AMC
35588140;ALBANIA AMC
35588194;ALBANIA AMC
35588222;ALBANIA AMC
35588262;ALBANIA AMC
35588274;ALBANIA AMC
35588294;ALBANIA AMC
35588324;ALBANIA AMC
35588364;ALBANIA AMC
35588372;ALBANIA AMC
35588392;ALBANIA AMC
35588440;ALBANIA AMC
35588480;ALBANIA AMC
35588540;ALBANIA AMC
35588590;ALBANIA AMC
35588640;ALBANIA AMC
35588682;ALBANIA AMC
35588692;ALBANIA AMC
35588722;ALBANIA AMC
35588750;ALBANIA AMC
35588770;ALBANIA AMC
35588790;ALBANIA AMC
35589140;ALBANIA AMC
35589164;ALBANIA AMC
35589192;ALBANIA AMC
35589224;ALBANIA AMC
35589280;ALBANIA AMC
35589324;ALBANIA AMC
35589422;ALBANIA AMC
35589480;ALBANIA AMC
35589524;ALBANIA AMC
35589562;ALBANIA AMC
35589590;ALBANIA AMC
35568;ALBANIA GSM AMC
35567;ALBANIA GSM EAGLE
35566;ALBANIA GSM PLUS
35569;ALBANIA GSM VODAFONE
3554249;ALBANIA OLO
3554250;ALBANIA OLO
3554251;ALBANIA OLO
3554252;ALBANIA OLO
213;ALGERIA
21320;ALGERIA ALGER
21321;ALGERIA ALGER
21322;ALGERIA ALGER
21365;ALGERIA GSM
21366;ALGERIA GSM
21367;ALGERIA GSM
21368;ALGERIA GSM
21369;ALGERIA GSM
2135;ALGERIA GSM OOREDOO
21377;ALGERIA GSM ORASCOM
21378;ALGERIA GSM ORASCOM
21379;ALGERIA GSM ORASCOM
1684;AMERICAN SAMOA
376;ANDORRA
3763;ANDORRA GSM
3764;ANDORRA GSM
3765;ANDORRA GSM
3766;ANDORRA GSM
244;ANGOLA
24491;ANGOLA GSM
24499;ANGOLA GSM
24492;ANGOLA GSM UNITEL
24493;ANGOLA GSM UNITEL
24494;ANGOLA GSM UNITEL
1264;ANGUILLA
1264235;ANGUILLA GSM
1264469;ANGUILLA GSM
1264476;ANGUILLA GSM
1264536;ANGUILLA GSM
1264537;ANGUILLA GSM
1264538;ANGUILLA GSM
1264539;ANGUILLA GSM
1264543;ANGUILLA GSM
1264581;ANGUILLA GSM
1264582;ANGUILLA GSM
1264583;ANGUILLA GSM
1264584;ANGUILLA GSM
1264724;ANGUILLA GSM
1264729;ANGUILLA GSM
1264772;ANGUILLA GSM
672;ANTARCTICA
1268;ANTIGUA AND BARBUDA
1268406;ANTIGUA AND BARBUDA GSM
1268409;ANTIGUA AND BARBUDA GSM
1268464;ANTIGUA AND BARBUDA GSM
126872;ANTIGUA AND BARBUDA GSM
1268764;ANTIGUA AND BARBUDA GSM
126877;ANTIGUA AND BARBUDA GSM
1268783;ANTIGUA AND BARBUDA GSM
1268785;ANTIGUA AND BARBUDA GSM
1268788;ANTIGUA AND BARBUDA GSM
54;ARGENTINA
5411;ARGENTINA B. AIRES
54221;ARGENTINA CITIES
54223;ARGENTINA CITIES
54261;ARGENTINA CITIES
54341;ARGENTINA CITIES
54351;ARGENTINA CITIES
549;ARGENTINA GSM
374;ARMENIA
3744;ARMENIA GSM
3745;ARMENIA GSM
37460;ARMENIA GSM
3749;ARMENIA GSM
37443;ARMENIA GSM ARMENTEL
37491;ARMENIA GSM ARMENTEL
37496;ARMENIA GSM ARMENTEL
37499;ARMENIA GSM ARMENTEL
37441;ARMENIA GSM ORANGE
37444;ARMENIA GSM ORANGE
37455;ARMENIA GSM ORANGE
37495;ARMENIA GSM ORANGE
37449;ARMENIA GSM VIVACELL
37477;ARMENIA GSM VIVACELL
37488;ARMENIA GSM VIVACELL
37493;ARMENIA GSM VIVACELL
37494;ARMENIA GSM VIVACELL
37498;ARMENIA GSM VIVACELL
37410;ARMENIA YEREVAN
297;ARUBA
297127;ARUBA GSM
29756;ARUBA GSM
29759;ARUBA GSM
297600;ARUBA GSM
297622;ARUBA GSM
29763;ARUBA GSM
29764;ARUBA GSM
29766;ARUBA GSM
29769;ARUBA GSM
29773;ARUBA GSM
29774;ARUBA GSM
29796;ARUBA GSM
29799;ARUBA GSM
247;ASCENSION
61;AUSTRALIA
6128;AUSTRALIA CITIES
6129;AUSTRALIA CITIES
6138;AUSTRALIA CITIES
6139;AUSTRALIA CITIES
6173;AUSTRALIA CITIES
61860;AUSTRALIA CITIES
61861;AUSTRALIA CITIES
61862;AUSTRALIA CITIES
61863;AUSTRALIA CITIES
61864;AUSTRALIA CITIES
61865;AUSTRALIA CITIES
61892;AUSTRALIA CITIES
61893;AUSTRALIA CITIES
61894;AUSTRALIA CITIES
6114;AUSTRALIA GSM
6116;AUSTRALIA GSM
614;AUSTRALIA GSM
61453;AUSTRALIA GSM
61469;AUSTRALIA GSM
61470;AUSTRALIA GSM
614888;AUSTRALIA GSM
61401;AUSTRALIA GSM OPTUS
61402;AUSTRALIA GSM OPTUS
61403;AUSTRALIA GSM OPTUS
61411;AUSTRALIA GSM OPTUS
61412;AUSTRALIA GSM OPTUS
61413;AUSTRALIA GSM OPTUS
61421;AUSTRALIA GSM OPTUS
61422;AUSTRALIA GSM OPTUS
61423;AUSTRALIA GSM OPTUS
61431;AUSTRALIA GSM OPTUS
61432;AUSTRALIA GSM OPTUS
61434;AUSTRALIA GSM OPTUS
61435;AUSTRALIA GSM OPTUS
61466;AUSTRALIA GSM OPTUS
614683;AUSTRALIA GSM OPTUS
614684;AUSTRALIA GSM OPTUS
614685;AUSTRALIA GSM OPTUS
614686;AUSTRALIA GSM OPTUS
614687;AUSTRALIA GSM OPTUS
614688;AUSTRALIA GSM OPTUS
614689;AUSTRALIA GSM OPTUS
61478;AUSTRALIA GSM OPTUS
614790;AUSTRALIA GSM OPTUS
614791;AUSTRALIA GSM OPTUS
61481;AUSTRALIA GSM OPTUS
61482;AUSTRALIA GSM OPTUS
61400;AUSTRALIA GSM TELSTR
61407;AUSTRALIA GSM TELSTR
61408;AUSTRALIA GSM TELSTR
61409;AUSTRALIA GSM TELSTR
61417;AUSTRALIA GSM TELSTR
61418;AUSTRALIA GSM TELSTR
61419;AUSTRALIA GSM TELSTR
61427;AUSTRALIA GSM TELSTR
61428;AUSTRALIA GSM TELSTR
61429;AUSTRALIA GSM TELSTR
61437;AUSTRALIA GSM TELSTR
61438;AUSTRALIA GSM TELSTR
61439;AUSTRALIA GSM TELSTR
614444;AUSTRALIA GSM TELSTR
61447;AUSTRALIA GSM TELSTR
61448;AUSTRALIA GSM TELSTR
61457;AUSTRALIA GSM TELSTR
61458;AUSTRALIA GSM TELSTR
61459;AUSTRALIA GSM TELSTR
614590;AUSTRALIA GSM TELSTR
614591;AUSTRALIA GSM TELSTR
614592;AUSTRALIA GSM TELSTR
61467;AUSTRALIA GSM TELSTR
61477;AUSTRALIA GSM TELSTR
61487;AUSTRALIA GSM TELSTR
614880;AUSTRALIA GSM TELSTR
614881;AUSTRALIA GSM TELSTR
614882;AUSTRALIA GSM TELSTR
614883;AUSTRALIA GSM TELSTR
614884;AUSTRALIA GSM TELSTR
614885;AUSTRALIA GSM TELSTR
614886;AUSTRALIA GSM TELSTR
614887;AUSTRALIA GSM TELSTR
614889;AUSTRALIA GSM TELSTR
61498;AUSTRALIA GSM TELSTR
61499;AUSTRALIA GSM TELSTR
61404;AUSTRALIA GSM VODA
61405;AUSTRALIA GSM VODA
61406;AUSTRALIA GSM VODA
61410;AUSTRALIA GSM VODA
61414;AUSTRALIA GSM VODA
61415;AUSTRALIA GSM VODA
61416;AUSTRALIA GSM VODA
614202;AUSTRALIA GSM VODA
614203;AUSTRALIA GSM VODA
614204;AUSTRALIA GSM VODA
614205;AUSTRALIA GSM VODA
614206;AUSTRALIA GSM VODA
614207;AUSTRALIA GSM VODA
614208;AUSTRALIA GSM VODA
614209;AUSTRALIA GSM VODA
61424;AUSTRALIA GSM VODA
61426;AUSTRALIA GSM VODA
61449;AUSTRALIA GSM VODA
61450;AUSTRALIA GSM VODA
61451;AUSTRALIA GSM VODA
61452;AUSTRALIA GSM VODA
6113;AUSTRALIA PRS
43;AUSTRIA
43661;AUSTRIA GSM
43665;AUSTRIA GSM
43666;AUSTRIA GSM
43667;AUSTRIA GSM
43670;AUSTRIA GSM
43678;AUSTRIA GSM
4368860;AUSTRIA GSM
4368861;AUSTRIA GSM
4368864;AUSTRIA GSM
4368877;AUSTRIA GSM
436889;AUSTRIA GSM
43690;AUSTRIA GSM
43660;AUSTRIA GSM HI3G
4367833;AUSTRIA GSM HI3G
4367890;AUSTRIA GSM HI3G
4367891;AUSTRIA GSM HI3G
4368183;AUSTRIA GSM HI3G
43699;AUSTRIA GSM HI3G
43664;AUSTRIA GSM MOBILKOM
43680;AUSTRIA GSM MOBILKOM
43681;AUSTRIA GSM MOBILKOM
43688;AUSTRIA GSM MOBILKOM
4369981;AUSTRIA GSM MOBILKOM
4369982;AUSTRIA GSM MOBILKOM
4369988;AUSTRIA GSM MOBILKOM
4369989;AUSTRIA GSM MOBILKOM
43650;AUSTRIA GSM T-MOBILE
43676;AUSTRIA GSM T-MOBILE
43677;AUSTRIA GSM T-MOBILE
43710;AUSTRIA PRS
43711;AUSTRIA PRS
43718;AUSTRIA PRS
43720;AUSTRIA PRS
43730;AUSTRIA PRS
43740;AUSTRIA PRS
43780;AUSTRIA PRS
43810;AUSTRIA PRS
43820;AUSTRIA PRS
43821;AUSTRIA PRS
43828;AUSTRIA PRS
4386;AUSTRIA PRS
4387;AUSTRIA PRS
43892010;AUSTRIA PRS
43892011;AUSTRIA PRS
43892012;AUSTRIA PRS
43892013;AUSTRIA PRS
43892020;AUSTRIA PRS
43892021;AUSTRIA PRS
43892022;AUSTRIA PRS
43892023;AUSTRIA PRS
43892041;AUSTRIA PRS
43900;AUSTRIA PRS
43901;AUSTRIA PRS
43930;AUSTRIA PRS
43931;AUSTRIA PRS
43939;AUSTRIA PRS
994;AZERBAIJAN
99444;AZERBAIJAN GSM
99450;AZERBAIJAN GSM
99451;AZERBAIJAN GSM
99455;AZERBAIJAN GSM
99460;AZERBAIJAN GSM
99470;AZERBAIJAN GSM
99477;AZERBAIJAN GSM
99440;AZERBAIJAN GSM CATEL
1242;BAHAMAS
973;BAHRAIN
97331;BAHRAIN GSM
97332;BAHRAIN GSM
97333;BAHRAIN GSM
97334;BAHRAIN GSM
97335;BAHRAIN GSM
97336;BAHRAIN GSM
97337;BAHRAIN GSM
973380;BAHRAIN GSM
973381;BAHRAIN GSM
973382;BAHRAIN GSM
973383;BAHRAIN GSM
973384;BAHRAIN GSM
973387;BAHRAIN GSM
973388;BAHRAIN GSM
973389;BAHRAIN GSM
97339;BAHRAIN GSM
9736300;BAHRAIN GSM
9736333;BAHRAIN GSM
9736361;BAHRAIN GSM
9736366;BAHRAIN GSM
973663;BAHRAIN GSM
973666;BAHRAIN GSM
973667;BAHRAIN GSM
973669;BAHRAIN GSM
880;BANGLADESH
88011;BANGLADESH GSM
88015;BANGLADESH GSM
88016;BANGLADESH GSM
88017;BANGLADESH GSM
88018;BANGLADESH GSM
88019;BANGLADESH GSM
1246;BARBADOS
124623;BARBADOS GSM
124624;BARBADOS GSM
124625;BARBADOS GSM
124626;BARBADOS GSM
124628;BARBADOS GSM
1246446;BARBADOS GSM
1246447;BARBADOS GSM
1246448;BARBADOS GSM
1246449;BARBADOS GSM
124645;BARBADOS GSM
124652;BARBADOS GSM
1246530;BARBADOS GSM
1246531;BARBADOS GSM
1246532;BARBADOS GSM
1246533;BARBADOS GSM
1246534;BARBADOS GSM
124682;BARBADOS GSM
124683;BARBADOS GSM
124684;BARBADOS GSM
124685;BARBADOS GSM
375;BELARUS
37525;BELARUS GSM
37529;BELARUS GSM
37533;BELARUS GSM
37544;BELARUS GSM
32;BELGIUM
32463;BELGIUM GSM
324630;BELGIUM GSM
324665;BELGIUM GSM
324666;BELGIUM GSM
324667;BELGIUM GSM
324669;BELGIUM GSM
324671;BELGIUM GSM
324672;BELGIUM GSM
32468;BELGIUM GSM
324687;BELGIUM GSM
324698;BELGIUM GSM
324800;BELGIUM GSM
3277;BELGIUM GSM
32483;BELGIUM GSM BASE
32484;BELGIUM GSM BASE
32485;BELGIUM GSM BASE
32486;BELGIUM GSM BASE
32487;BELGIUM GSM BASE
32488;BELGIUM GSM BASE
32489;BELGIUM GSM BASE
32770002;BELGIUM GSM BASE
324651;BELGIUM GSM LYCAMOBILE
324652;BELGIUM GSM LYCAMOBILE
324653;BELGIUM GSM LYCAMOBILE
324654;BELGIUM GSM LYCAMOBILE
324655;BELGIUM GSM LYCAMOBILE
324656;BELGIUM GSM LYCAMOBILE
324657;BELGIUM GSM LYCAMOBILE
