Group;Code;Valid From
ATZ3;7;15/11/2010
ESV3;7;05/02/2018
HNZC;7;15/11/2010
NLZ1;7;24/07/2017
ATZ3;20;15/11/2010
ESV2;20;05/02/2018
HNZC;20;15/11/2010
LUZ2;20;15/11/2010
ATZ3;27;15/11/2010
ESV3;27;05/02/2018
HNZC;27;15/11/2010
LUZ2;27;12/01/2018
NLZ1;27;24/07/2017
ATZ1;30;15/11/2010
BEZ1;30;15/11/2010
BM1;30;15/11/2010
BM2;30;15/11/2010
BM3;30;15/11/2010
EEA;30;15/11/2010
EED;30;08/07/2016
EEN;30;16/06/2016
ESM1;30;07/02/2018
ESV1;30;05/02/2018
FI1;30;15/11/2010
GR1;30;15/11/2010
HEUR;30;15/11/2010
LUZ1;30;15/11/2010
NLZ1;30;24/07/2017
PLZ1;30;15/11/2010
TRMT;30;15/11/2010
VRMT;30;15/11/2010
WRMT;30;15/11/2010
ATZ1;31;14/04/2018
BEZ1;31;15/11/2010
BM1;31;15/11/2010
BM2;31;15/11/2010
BM3;31;15/11/2010
EEA;31;15/11/2010
EED;31;08/07/2016
EEN;31;16/06/2016
ESM1;31;07/02/2018
ESV1;31;05/02/2018
FI1;31;15/11/2010
HEUR;31;15/11/2010
LUZ1;31;15/11/2010
NLZ1;31;24/07/2017
PLZ1;31;15/11/2010
TRMT;31;15/11/2010
VRMT;31;15/11/2010
WRMT;31;15/11/2010
ATZ1;32;15/11/2010
BEZ1;32;15/11/2010
BM1;32;15/11/2010
BM2;32;15/11/2010
BM3;32;15/11/2010
EEA;32;15/11/2010
EED;32;08/07/2016
EEN;32;16/06/2016
ESM1;32;07/02/2018
ESV1;32;05/02/2018
FI1;32;15/11/2010
HEUR;32;15/11/2010
LUZ1;32;15/11/2010
NLZ1;32;24/07/2017
PLZ1;32;15/11/2010
TRMT;32;15/11/2010
VRMT;32;15/11/2010
WRMT;32;15/11/2010
ATZ1;33;01/01/2016
BEZ1;33;01/01/2016
BM1;33;01/01/2017
BM2;33;01/01/2017
BM3;33;01/01/2017
EEA;33;01/01/2016
EED;33;08/07/2016
EEN;33;16/06/2016
ESM1;33;07/02/2018
ESV1;33;05/02/2018
FI1;33;01/01/2017
FR1;33;01/01/2016
HEUR;33;01/10/2015
LUZ1;33;01/01/2017
NLZ1;33;24/07/2017
PLZ1;33;01/01/2016
TRMT;33;01/10/2015
VRMT;33;01/10/2015
WRMT;33;01/10/2015
ATZ1;34;15/11/2010
BEZ1;34;15/11/2010
BM1;34;15/11/2010
BM2;34;15/11/2010
BM3;34;15/11/2010
EEA;34;15/11/2010
EED;34;08/07/2016
EEN;34;16/06/2016
ES1;34;03/02/2017
ESM1;34;07/02/2018
ESV1;34;05/02/2018
FI1;34;15/11/2010
HEUR;34;15/11/2010
LUZ1;34;12/01/2018
NLZ1;34;24/07/2017
PLZ1;34;15/11/2010
TRMT;34;15/11/2010
VRMT;34;15/11/2010
WRMT;34;15/11/2010
ATZ1;36;15/11/2010
BEZ1;36;15/11/2010
BM1;36;15/11/2010
BM2;36;15/11/2010
BM3;36;15/11/2010
EEA;36;15/11/2010
EED;36;08/07/2016
EEN;36;16/06/2016
ESM1;36;07/02/2018
ESV1;36;05/02/2018
FI1;36;15/11/2010
HEUR;36;15/11/2010
HU1;36;15/11/2010
LUZ1;36;15/11/2010
NLZ1;36;24/07/2017
PLZ1;36;15/11/2010
TRMT;36;15/11/2010
VRMT;36;15/11/2010
WRMT;36;15/11/2010
ATZ1;39;15/11/2010
BEZ1;39;15/11/2010
BM1;39;15/11/2010
BM2;39;15/11/2010
BM3;39;15/11/2010
EEA;39;15/11/2010
EED;39;08/07/2016
EEN;39;16/06/2016
ESM1;39;07/02/2018
ESV1;39;05/02/2018
FI1;39;15/11/2010
HEUR;39;15/11/2010
IT1;39;15/11/2010
LUZ1;39;15/11/2010
NLZ1;39;24/07/2017
PLZ1;39;15/11/2010
TRMT;39;15/11/2010
VRMT;39;15/11/2010
WRMT;39;15/11/2010
ATZ1;40;15/11/2010
BEZ1;40;15/11/2010
BM1;40;15/11/2010
BM2;40;15/11/2010
BM3;40;15/11/2010
EEA;40;15/11/2010
EED;40;08/07/2016
EEN;40;16/06/2016
ESM1;40;07/02/2018
ESV1;40;05/02/2018
FI1;40;15/11/2010
HEUR;40;15/11/2010
LUZ1;40;12/01/2018
NLZ1;40;24/07/2017
PLZ1;40;15/11/2010
TRMT;40;15/11/2010
VRMT;40;15/11/2010
WRMT;40;15/11/2010
ATZ3;41;15/11/2010
BEZ1;41;15/11/2010
BM1;41;15/11/2010
ESM2;41;07/02/2018
ESV2;41;08/03/2018
FI1;41;15/11/2010
HNZC;41;15/11/2010
LUZ2;41;12/01/2018
NLZ1;41;24/07/2017
WRMT;41;01/07/2017
AT1;43;03/02/2017
ATZ1;43;15/11/2010
BEZ1;43;15/11/2010
BM1;43;15/11/2010
BM2;43;15/11/2010
BM3;43;15/11/2010
EEA;43;15/11/2010
EED;43;08/07/2016
EEN;43;16/06/2016
ESM1;43;07/02/2018
ESV1;43;05/02/2018
FI1;43;15/11/2010
HEUR;43;15/11/2010
LUZ1;43;15/11/2010
NLZ1;43;24/07/2017
PLZ1;43;15/11/2010
TRMT;43;15/11/2010
VRMT;43;15/11/2010
WRMT;43;15/11/2010
ATZ1;44;15/11/2010
BEZ1;44;15/11/2010
BM1;44;15/11/2010
BM2;44;15/11/2010
BM3;44;15/11/2010
EEA;44;15/11/2010
EED;44;08/07/2016
EEN;44;16/06/2016
ESM1;44;07/02/2018
ESV1;44;05/02/2018
FI1;44;15/11/2010
HEUR;44;15/11/2010
LUZ1;44;12/01/2018
NLZ1;44;24/07/2017
PLZ1;44;15/11/2010
TRMT;44;15/11/2010
VRMT;44;15/11/2010
WRMT;44;15/11/2010
ATZ1;45;15/11/2010
BEZ1;45;15/11/2010
BM1;45;15/11/2010
BM2;45;15/11/2010
BM3;45;15/11/2010
EEA;45;15/11/2010
EED;45;08/07/2016
EEN;45;16/06/2016
ESM1;45;07/02/2018
ESV1;45;05/02/2018
FI1;45;15/11/2010
HEUR;45;15/11/2010
LUZ1;45;15/11/2010
NLZ1;45;24/07/2017
PLZ1;45;15/11/2010
TRMT;45;15/11/2010
VRMT;45;15/11/2010
WRMT;45;15/11/2010
ATZ1;46;15/11/2010
BEZ1;46;15/11/2010
BM1;46;15/11/2010
BM2;46;15/11/2010
BM3;46;15/11/2010
EEA;46;15/11/2010
EED;46;08/07/2016
EEN;46;16/06/2016
ESM1;46;07/02/2018
ESV1;46;05/02/2018
FI1;46;15/11/2010
HEUR;46;15/11/2010
LUZ1;46;12/01/2018
NLZ1;46;24/07/2017
PLZ1;46;15/11/2010
TRMT;46;15/11/2010
VRMT;46;15/11/2010
WRMT;46;15/11/2010
ATZ1;47;15/11/2010
BEZ1;47;15/11/2010
BM1;47;15/11/2010
BM2;47;15/11/2010
BM3;47;15/11/2010
EEA;47;15/11/2010
EED;47;08/07/2016
EEN;47;16/06/2016
ESM1;47;07/02/2018
ESV1;47;05/02/2018
FI1;47;15/11/2010
HEUR;47;15/11/2010
LUZ1;47;12/01/2018
NLZ1;47;24/07/2017
PLZ1;47;15/11/2010
TRMT;47;15/11/2010
VRMT;47;15/11/2010
WRMT;47;15/11/2010
ATZ1;48;15/11/2010
BEZ1;48;15/11/2010
BM1;48;15/11/2010
BM2;48;15/11/2010
BM3;48;15/11/2010
EEA;48;15/11/2010
EED;48;08/07/2016
EEN;48;16/06/2016
ESM1;48;07/02/2018
ESV1;48;05/02/2018
FI1;48;15/11/2010
HEUR;48;15/11/2010
LUZ1;48;12/01/2018
NLZ1;48;24/07/2017
PL1;48;15/11/2010
PLZ1;48;15/11/2010
TRMT;48;15/11/2010
VRMT;48;15/11/2010
WRMT;48;15/11/2010
ATZ1;49;14/04/2018
BEZ1;49;15/11/2010
BM1;49;15/11/2010
BM2;49;15/11/2010
BM3;49;15/11/2010
EEA;49;15/11/2010
EED;49;08/07/2016
EEN;49;16/06/2016
ESM1;49;07/02/2018
ESV1;49;05/02/2018
FI1;49;15/11/2010
HEUR;49;15/11/2010
LUZ1;49;15/11/2010
NLZ1;49;24/07/2017
PLZ1;49;15/11/2010
TRMT;49;15/11/2010
VRMT;49;15/11/2010
WRMT;49;15/11/2010
ATZ3;51;15/11/2010
ESM1;51;07/02/2018
ESV1;51;05/02/2018
HZNB;51;15/11/2010
NLZ1;51;24/07/2017
TRMT;51;15/11/2010
VRMT;51;15/11/2010
WRMT;51;15/11/2010
ATZ3;52;15/11/2010
BM3;52;15/11/2010
ESM2;52;07/02/2018
ESV1;52;05/02/2018
HZNB;52;15/11/2010
LUZ1;52;15/11/2010
NLZ1;52;24/07/2017
TRMT;52;15/11/2010
VRMT;52;15/11/2010
WRMT;52;15/11/2010
TIAC;53;25/08/2016
WIAC;53;04/01/2017
ATZ3;54;15/11/2010
ESV3;54;05/02/2018
TIAC;54;25/08/2016
ATZ3;55;15/11/2010
ESM2;55;07/02/2018
ESV1;55;05/02/2018
HNZC;55;15/11/2010
LUZ2;55;15/11/2010
NLZ1;55;24/07/2017
ATZ3;56;15/11/2010
ESM2;56;07/02/2018
ESV1;56;05/02/2018
HNZC;56;15/11/2010
NLZ1;56;24/07/2017
