Nature du Format;nom_destination;indicatif;Valeur niveau Fraude
3;France Fixe;1;A
3;France Fixe;2;A
3;France Fixe;3;A
3;France Fixe;4;A
3;France Fixe;5;A
3;France Mobile;6;A
3;France Mobile;7;A
3;France SVA 1;80;A
3;France SVA 2;81;A
3;France SVA 3;82;B
3;France SVA 4;89;D
4;France Fixe;331;A
4;France Fixe;332;A
4;France Fixe;333;A
4;France Fixe;334;A
4;France Fixe;335;A
4;France Mobile;336;A
4;France Mobile;337;A
4;France SVA 1;3380;A
4;France SVA 2;3381;A
4;France SVA 3;3382;B
4;France SVA 4;3389;D
4;GERMANY GSM VODAFONE;49173;A
4;JAMAICA GSM DIGICEL;1876553;B
4;SWEDEN GSM TELENOR;46701993;A
4;INDIA GSM;9185320;A
4;DOMINICAN REP GSM;1829753;A
4;RUSSIA ZONE 2;7862;A
4;DOMINICAN REP LOCAL OTHER;18097412;A
4;INDIA GSM;9178168;A
4;INDIA GSM;9172209;A
4;INDIA GSM;9184439;A
4;SOUTH AFRICA PRS;27403300;C
4;POLAND OLO;48768569;A
4;DOMINICAN REP GSM;1809284;A
4;SOUTH AFRICA PRS;27173440;C
4;DENMARK GSM TELENOR;459298;A
4;TUNISIA ORANGE;21630;F
4;SOUTH AFRICA PRS;2721380324;C
4;DOMINICAN REP LOCAL OTHER;180969541;A
4;DOMINICAN REP GSM;180969603;A
4;MOROCCO GSM WANA FULL MOBILITY;212707;E
4;DOMINICAN REP LOCAL OTHER;18097415;A
4;DOMINICAN REP GSM ORANGE;1829916;A
4;DOMINICAN REP LOCAL OTHER;180973664;A
4;SOUTH AFRICA PRS;27232850;C
4;ALBANIA AMC;35538523;B
4;DOMINICAN REP LOCAL OTHER;18092861;A
4;POLAND OLO;48153000;A
4;CHILE RUR;5622993;A
4;DOMINICAN REP LOCAL OTHER;18092635;A
4;INDIA GSM;9178578;A
4;DOMINICAN REP LOCAL OTHER;18092221;A
4;POLAND OLO;48825758;A
4;INDIA GSM;9185050;A
4;LATVIA OLO;3716716;E
4;JAPAN GSM;8190;A
4;DOMINICAN REP LOCAL OTHER;180936454;A
4;DOMINICAN REP LOCAL OTHER;180937311;A
4;RUSSIA ZONE 5;7395;A
4;INDIA GSM;91809;A
4;INDIA GSM VODAFONE;919619;A
4;POLAND GSM ERA;487348;A
4;POLAND OLO;48226601;A
4;INDIA GSM;9185380;A
4;SOUTH AFRICA PRS;27107862;C
4;TUNISIA GSM TUNTEL;21640;F
4;POLAND OLO;48523357;A
4;INDIA GSM;918575;A
4;PERU RURAL;518460;A
4;LITHUANIA OLO;37037783;B
4;DOMINICAN REP GSM;180969600;A
4;INDIA GSM;9189318;A
4;INDIA GSM;9187429;A
4;BRAZIL GSM;55976;A
4;UK GSM VODAFONE;447435;A
4;NORWAY GSM TELENOR;47906;A
4;DENMARK GSM TELENOR;459293;A
4;DOMINICAN REP LOCAL OTHER;18095446;A
4;UK GSM VODAFONE;4473897;A
4;POLAND GSM PM4;488836;A
4;DOMINICAN REP LOCAL OTHER;1809285;A
4;RUSSIA ZONE 1;73432;A
4;POLAND OLO;48683003;A
4;DOMINICAN REP GSM;18095157;A
4;INDIA GSM;918003;A
4;COMOROS GSM;2693;E
4;DOMINICAN REP GSM;1809663;A
4;THAILAND GSM DTAC;6688819;A
4;REUNION GSM SRR;26269301;A
4;UK GSM O2;447724;A
4;INDIA GSM RELIANCE;919905;A
4;DOMINICAN REP LOCAL OTHER;180972831;A
4;DOMINICAN REP GSM;1809644;A
4;SOUTH AFRICA PRS;27275000;C
4;INDIA GSM;9184840;A
4;MEXICO GSM ZONE3;521749;A
4;DOMINICAN REP LOCAL VIVA;1829997;A
4;POLAND OLO;48585246;A
4;LATVIA GSM;3712260;F
4;INDIA GSM;9175449;A
4;DOMINICAN REP GSM;1829828;A
4;BRAZIL GSM;55776;A
4;INDIA GSM;9181319;A
4;DOMINICAN REP LOCAL OTHER;18094896;A
4;RWANDA GSM;25075;C
4;PHILIPPINES GSM GLOB;63975;B
4;CHILE RUR;56532196;A
4;DOMINICAN REP LOCAL OTHER;180951830;A
4;INDIA GSM;9188648;A
4;MEXICO GSM ZONE3;521391;A
4;USA OLO;1907602;A
4;DENMARK GSM TELIA;452395;A
4;POLAND OLO;48324180;A
4;ESTONIA GSM ELISA;3725458;A
4;POLAND OLO;4832708;A
4;SOUTH AFRICA PRS;27542850;C
4;POLAND OLO;48222;A
4;BRAZIL GSM;55487;A
4;INDIA GSM;9177348;A
4;POLAND OLO;485484;A
4;MEXICO GSM ZONE2;521686;A
4;INDIA GSM;9181328;A
4;DOMINICAN REP LOCAL OTHER;180928952;A
4;DOMINICAN REP LOCAL OTHER;18094714;A
4;THAILAND GSM DTAC;6690668;A
4;CANADA NWT;1250237;A
4;DOMINICAN REP LOCAL OTHER;180974059;A
4;POLAND OLO;48166420;A
4;DOMINICAN REP GSM ORANGE;1809712;A
4;DOMINICAN REP LOCAL OTHER;18096332;A
4;SOUTH AFRICA PRS;27283300;C
4;DOMINICAN REP GSM;1829377;A
4;POLAND OLO;48486778;A
4;INDIA GSM;9183860;A
4;DOMINICAN REP GSM VIVA;1829440;A
4;POLAND OLO;4844738;A
4;COLOMBIA CITIES;5716;A
4;POLAND OLO;48423000;A
4;POLAND OLO;4832736;A
4;JAMAICA GSM DIGICEL;1876520;B
4;MEXICO ZONE3;52437;A
4;DOMINICAN REP LOCAL OTHER;180979445;A
4;LATVIA GSM;3712580;F
4;DOMINICAN REP LOCAL OTHER;180947380;A
4;BARBADOS GSM;124683;B
4;RUSSIA ZONE 2;7472;A
4;BRAZIL GSM;551195075;A
4;BRAZIL GSM;5511954;A
4;INDIA GSM;9184660;A
4;DOMINICAN REP LOCAL OTHER;180958514;A
4;INDIA GSM;9175518;A
4;UK GSM O2;4478649;A
4;SWEDEN GSM TELENOR;467660;A
4;DOMINICAN REP LOCAL OTHER;180926272;A
4;INDIA GSM;9172173;A
4;THAILAND GSM DTAC;6690630;A
4;POLAND GSM ERA;487272;A
4;BULGARIA OLO;3595909;A
4;CANADA;1416;A
4;BRAZIL GSM;55317501;A
4;SOUTH AFRICA PRS;27107861;C
4;SOUTH AFRICA PRS;27118616;C
4;INDIA GSM;918530;A
4;TRINIDAD GSM DIGICEL;186840;B
4;POLAND OLO;4832732;A
4;INDIA GSM;9176880;A
4;PERU RURAL;517461;A
4;DOMINICAN REP LOCAL OTHER;18097328;A
4;DOMINICAN REP GSM VIVA;1809997;A
4;INDIA GSM;9176820;A
4;ECUADOR GSM MOVISTAR;5939926;B
4;SOUTH AFRICA PRS;2710001251;C
4;DOMINICAN REP GSM ORANGE;1829598;A
4;INDIA GSM;9189328;A
4;INDIA GSM RELIANCE;919528;A
4;POLAND GSM PM4;487807;A
4;INDIA GSM;9181369;A
4;POLAND OLO;4876755;A
4;DOMINICAN REP LOCAL OTHER;180968389;A
4;DOMINICAN REP GSM;1809209;A
4;BULGARIA OLO;35960398;A
4;SOUTH AFRICA GSM;2762;A
4;DOMINICAN REP GSM;1809888;A
4;SPAIN GSM TELEFONICA;34638;A
4;DOMINICAN REP LOCAL OTHER;180979485;A
4;DENMARK GSM TELIA;45524;A
4;SOUTH AFRICA PRS;27161100;C
4;INDIA GSM;9184940;A
4;DOMINICAN REP LOCAL OTHER;180969545;A
4;INDIA GSM;9178050;A
4;MEXICO ZONE2;52451;A
4;PORTUGAL GSM MEO;351639220;A
4;BRAZIL GSM;553296;A
4;POLAND OLO;48426000;A
4;POLAND OLO;48913033;A
4;MOROCCO GSM IAM;212623;E
4;INDIA GSM;9185649;A
4;INDIA GSM;9177838;A
4;DENMARK GSM TELIA;45602;A
4;INDIA GSM;9177659;A
4;DOMINICAN REP GSM;1829224;A
4;MEXICO GSM ZONE2;521998;A
4;SWEDEN GSM TELIA;4672056;A
4;POLAND OLO;48898989;A
4;USA;1661;A
4;INDIA GSM;9187368;A
4;SWITZERLAND GSM SWIS;41754;A
4;CZECH REP GSM O2;420966;A
4;NORTH KOREA;850;D
4;NORWAY GSM TELENOR;479912;A
4;DOMINICAN REP GSM;1809743;A
4;SOUTH AFRICA GSM;278;A
4;DOMINICAN REP GSM ORANGE;1809962;A
4;DOMINICAN REP LOCAL OTHER;18092276;A
4;USA;1240;A
4;BULGARIA GSM MOBITEL;359988;A
4;INDIA GSM;9178338;A
4;SOUTH AFRICA PRS;2731275503;C
4;BRAZIL GSM;55119513;A
4;JAMAICA GSM DIGICEL;1876554;B
4;SOUTH AFRICA PRS;27224660;C
4;DOMINICAN REP LOCAL OTHER;18099210;A
4;DOMINICAN REP LOCAL OTHER;180958097;A
4;POLAND GSM ERA;48668;A
4;BRAZIL GSM;552196991;A
4;BOTSWANA GSM ORANGE;267743;B
4;INDIA GSM;9185038;A
4;MEXICO ZONE3;52432;A
4;JAMAICA GSM DIGICEL;187646;B
4;SOUTH AFRICA PRS;27120150;C
4;VIETNAM GSM VIETTEL;84169;A
4;INDIA GSM;9181779;A
4;BOSNIA SRPSKA;38753;B
4;ALBANIA AMC;35528970;B
4;NORWAY GSM TELENOR;474770;A
4;DOMINICAN REP LOCAL OTHER;1809948;A
4;DOMINICAN REP LOCAL OTHER;180953990;A
4;MOLDOVA GSM;3737;C
4;POLAND GSM ERA;4873913;A
4;NIGERIA GSM MTN;2347042;A
4;ALBANIA AMC;35527490;B
4;VIRGIN ISLANDS UK;1284;B
4;SLOVENIA GSM MOBITEL;3869817;A
4;POLAND OLO;48957313;A
4;SOUTH AFRICA PRS;27530500;C
4;CROATIA GSM VIPNET;38592;A
4;SPAIN GSM ORANGE;346404;A
4;DOMINICAN REP LOCAL OTHER;180968380;A
4;SPAIN GSM VODAFONE;346348;A
4;BOSNIA SRPSKA;387494;B
4;MEXICO GSM ZONE3;521346;A
4;ICELAND GSM;354826;A
4;BULGARIA OLO;3597455;A
4;BRAZIL OTHERS CITIES;55855;A
4;MEXICO ZONE2;52762;A
4;POLAND OLO;48913303;A
4;UK GSM VODAFONE;447884;A
4;BRAZIL GSM;5511953;A
4;MEXICO GSM ZONE2;521612;A
4;FINLAND;358;A
4;USA;1978;A
4;DOMINICAN REP GSM;1809821;A
4;DOMINICAN REP LOCAL OTHER;180926260;A
4;SPAIN GSM ORANGE;346980;A
4;UK GSM HI3G;447735;A
4;SOUTH AFRICA PRS;27329400;C
4;POLAND OLO;4875307;A
4;DOMINICAN REP GSM ORANGE;1809863;A
4;DOMINICAN REP GSM ORANGE;1809815;A
4;INDIA GSM;9184570;A
4;BRAZIL GSM;551195329;A
4;DOMINICAN REP LOCAL OTHER;1829734;A
4;UK GSM HI3G;447838;A
4;DOMINICAN REP LOCAL OTHER;180953909;A
4;DOMINICAN REP LOCAL OTHER;1829593;A
4;POLAND PRS;48708400;A
4;INDIA GSM VODAFONE;919811;A
4;UK GSM TMOBILE;447496;A
4;THAILAND GSM DTAC;6690604;A
4;SOMALIA GSM;25265;E
4;SWITZERLAND GSM SUN;41762;A
4;BOLIVIA RURAL;5912213;B
4;MEXICO ZONE2;52648;A
4;BELGIUM GSM MOBISTAR;3249;A
4;ALGERIA GSM;21369;F
4;POLAND OLO;48486115;A
4;INDIA GSM RELIANCE;919014;A
4;POLAND OLO;48627340;A
4;DOMINICAN REP LOCAL OTHER;1809621;A
4;THAILAND GSM DTAC;6690613;A
4;INDIA GSM VODAFONE;919051;A
4;POLAND OLO;48153003;A
4;UK PRS;4455;A
4;THAILAND GSM DTAC;6690695;A
4;BRAZIL GSM;55499;A
4;CYPRUS NORTH GSM;90548;B
