Destination;Group;Rate
AEROMOBILE GSM AIRCRAFT;;6.0625
AFGHANISTAN;;0.2110
AFGHANISTAN GSM;;0.1500
AFGHANISTAN GSM AWCC;;0.1063
AFGHANISTAN GSM ETIS;;0.0749
AFGHANISTAN GSM MTN;;0.175
AFGHANISTAN GSM ROSH;;0.1596
ALBANIA;;0.1413
ALBANIA AMC;;0.1413
ALBANIA GSM AMC;;0.2874
ALBANIA GSM EAGLE;;0.3359
ALBANIA GSM PLUS;;0.3525
ALBANIA GSM VODAFONE;;0.3125
ALBANIA OLO;;0.1413
ALGERIA;;0.0625
ALGERIA ALGER;;0.0625
ALGERIA GSM;;0.5
ALGERIA GSM OOREDOO;;0.5625
ALGERIA GSM ORASCOM;;0.425
AMERICAN SAMOA;;2.5
ANDORRA;;0.0107
ANDORRA GSM;;0.2125
ANGOLA;;0.05
ANGOLA GSM;;0.1381
ANGOLA GSM UNITEL;;0.1313
ANGUILLA;;0.1834
ANGUILLA GSM;;0.375
ANTARCTICA;;2.5
ANTIGUA AND BARBUDA;;0.18
ANTIGUA AND BARBUDA GSM;;0.2029
ARGENTINA;;0.0166
ARGENTINA B. AIRES;;0.0021
ARGENTINA CITIES;;0.005
ARGENTINA GSM;;0.0523
ARMENIA;;0.1734
ARMENIA GSM;;0.1464
ARMENIA GSM ARMENTEL;;0.201
ARMENIA GSM ORANGE;;0.1922
ARMENIA GSM VIVACELL;;0.1776
ARMENIA YEREVAN;;0.1504
ARUBA;;0.076
ARUBA GSM;;0.1795
ASCENSION;;2.5
AUSTRALIA;;0.0081
AUSTRALIA CITIES;;0.0084
AUSTRALIA GSM;;0.0278
AUSTRALIA GSM OPTUS;;0.0275
AUSTRALIA GSM TELSTR;;0.0275
AUSTRALIA GSM VODA;;0.0275
AUSTRALIA PRS;;0.0275
AUSTRIA;;0.1063
AUSTRIA;ATZ1;0.0031
AUSTRIA;ATZ2;0.0106
AUSTRIA;ATZ3;0.0194
AUSTRIA GSM;;0.2188
AUSTRIA GSM;ATZ1;0.01
AUSTRIA GSM;ATZ2;0.0563
AUSTRIA GSM;ATZ3;0.0938
AUSTRIA GSM HI3G;;0.2188
AUSTRIA GSM HI3G;ATZ1;0.01
AUSTRIA GSM HI3G;ATZ2;0.0563
AUSTRIA GSM HI3G;ATZ3;0.0938
AUSTRIA GSM MOBILKOM;;0.2188
AUSTRIA GSM MOBILKOM;ATZ1;0.01
AUSTRIA GSM MOBILKOM;ATZ2;0.0563
AUSTRIA GSM MOBILKOM;ATZ3;0.0938
AUSTRIA GSM T-MOBILE;;0.2188
AUSTRIA GSM T-MOBILE;ATZ1;0.01
AUSTRIA GSM T-MOBILE;ATZ2;0.0563
AUSTRIA GSM T-MOBILE;ATZ3;0.0938
AUSTRIA PRS;;0.225
AZERBAIJAN;;0.1715
AZERBAIJAN GSM;;0.2688
AZERBAIJAN GSM CATEL;;0.2825
BAHAMAS;;0.0766
BAHRAIN;;0.0979
BAHRAIN GSM;;0.1084
BANGLADESH;;0.0267
BANGLADESH GSM;;0.0213
BARBADOS;;0.1446
BARBADOS GSM;;0.1818
BELARUS;;0.2646
BELARUS GSM;;0.3021
BELGIUM;;0.0813
BELGIUM;BEZ1;0.0144
BELGIUM GSM;;0.2999
BELGIUM GSM BASE;;0.2831
